codigo,codigo_pai,nome,situacao,nivel,tem_filhos,caminho
2,0,PROCESSO CÍVEL E DO TRABALHO,A,1,True,PROCESSO CÍVEL E DO TRABALHO
5,0,SUPERIOR TRIBUNAL DE JUSTIÇA,A,1,True,SUPERIOR TRIBUNAL DE JUSTIÇA
7,1107,Procedimento Comum Cível,A,4,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimento Comum Cível
22,1107,Procedimento Sumário,I,4,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimento Sumário
26,1107,Procedimentos Especiais,A,4,True,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais
27,26,Procedimentos Especiais de Jurisdição Contenciosa,A,5,True,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa
28,27,Anulação e Substituição de Títulos ao Portador,I,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Anulação e Substituição de Títulos ao Portador
29,27,Apreensão e Depósito de Coisa Vendida com Reserva de Domínio,I,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Apreensão e Depósito de Coisa Vendida com Reserva de Domínio
30,27,Arrolamento Comum,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Arrolamento Comum
31,27,Arrolamento Sumário,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Arrolamento Sumário
32,27,Consignação em Pagamento,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Consignação em Pagamento
34,27,Demarcação / Divisão,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Demarcação / Divisão
35,27,Depósito,I,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Depósito
37,27,Embargos de Terceiro Cível,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Embargos de Terceiro Cível
38,27,Habilitação,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Habilitação
39,27,Inventário,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Inventário
40,27,Monitória,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Monitória
41,27,Nunciação de Obra Nova,I,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Nunciação de Obra Nova
44,27,Prestação de Contas - Oferecidas,I,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Prestação de Contas - Oferecidas
45,27,Ação de Exigir Contas,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Ação de Exigir Contas
46,27,Restauração de Autos Cível,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Restauração de Autos Cível
47,27,Ação Rescisória,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Ação Rescisória
48,27,Sobrepartilha,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Sobrepartilha
49,27,Usucapião,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Contenciosa > Usucapião
50,26,Procedimentos Especiais de Jurisdição Voluntária,A,5,True,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária
51,50,"Abertura, Registro e Cumprimento de Testamento",A,6,False,"PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Abertura, Registro e Cumprimento de Testamento"
52,50,Alienação Judicial de Bens,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Alienação Judicial de Bens
53,50,Arrecadação das Coisas Vagas,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Arrecadação das Coisas Vagas
54,50,Confirmação de Testamento,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Confirmação de Testamento
55,50,Declaração de Ausência,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Declaração de Ausência
56,50,Especialização de Hipoteca Legal,I,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Especialização de Hipoteca Legal
57,50,Herança Jacente,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Herança Jacente
58,50,Interdição/Curatela,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Interdição/Curatela
59,50,Organização e Fiscalização de Fundação,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Organização e Fiscalização de Fundação
60,50,Separação Consensual,A,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Separação Consensual
61,50,Tutela e Curatela -  Nomeação,I,6,False,PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Especiais de Jurisdição Voluntária > Tutela e Curatela -  Nomeação
62,26,"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos",A,5,True,"PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos"
63,62,Ação Civil Coletiva,A,6,False,"PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos > Ação Civil Coletiva"
64,62,Ação Civil de Improbidade Administrativa,A,6,False,"PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos > Ação Civil de Improbidade Administrativa"
65,62,Ação Civil Pública,A,6,False,"PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos > Ação Civil Pública"
66,62,Ação Popular,A,6,False,"PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos > Ação Popular"
69,62,Alimentos - Lei Especial Nº 5.478/68,A,6,False,"PROCESSO CÍVEL E DO TRABALHO > Processo de Conhecimento > Procedimento de Conhecimento > Procedimentos Especiais > Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos > Alimentos - Lei Especial Nº 5.478/68"
