codigo,codigo_pai,nome,situacao,nivel,tem_filhos,caminho
1,0,Magistrado,A,1,True,Magistrado
3,1,Decisão,A,2,True,Magistrado > Decisão
7,3,Conversão,A,3,True,Magistrado > Decisão > Conversão
11,3,Declaração,A,3,True,Magistrado > Decisão > Declaração
14,0,Serventuário,A,1,True,Serventuário
15,14,Contador,A,2,True,Serventuário > Contador
16,15,Cálculo,A,3,True,Serventuário > Contador > Cálculo
18,14,Distribuidor,A,2,True,Serventuário > Distribuidor
22,18,Baixa Definitiva,A,3,False,Serventuário > Distribuidor > Baixa Definitiva
25,3,Suspensão ou Sobrestamento,A,3,True,Magistrado > Decisão > Suspensão ou Sobrestamento
26,18,Distribuição,A,3,False,Serventuário > Distribuidor > Distribuição
36,18,Redistribuição,A,3,False,Serventuário > Distribuidor > Redistribuição
48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,A,2,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico
51,48,Conclusão,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Conclusão
56,3,Requisição de informações,I,3,False,Magistrado > Decisão > Requisição de informações
60,48,Expedição de documento,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Expedição de documento
63,3,Ordenação de entrega de autos,I,3,False,Magistrado > Decisão > Ordenação de entrega de autos
67,48,Juntada,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Juntada
83,3,Cancelamento da distribuição,A,3,False,Magistrado > Decisão > Cancelamento da distribuição
85,67,Petição,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Juntada > Petição
92,48,Publicação,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Publicação
104,14,Oficial de Justiça,A,2,True,Serventuário > Oficial de Justiça
105,104,Devolução,A,3,True,Serventuário > Oficial de Justiça > Devolução
106,105,Mandado,A,4,False,Serventuário > Oficial de Justiça > Devolução > Mandado
108,3,Decretação de Prisão Criminal,A,3,True,Magistrado > Decisão > Decretação de Prisão Criminal
112,105,Ofício,A,4,False,Serventuário > Oficial de Justiça > Devolução > Ofício
113,3,Decretação de Prisão Civil,A,3,True,Magistrado > Decisão > Decretação de Prisão Civil
115,104,Recebimento,A,3,True,Serventuário > Oficial de Justiça > Recebimento
117,3,Decretação de Internação,A,3,True,Magistrado > Decisão > Decretação de Internação
118,48,Protocolo de Petição,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Protocolo de Petição
122,3,Desacolhimento de Prisão,A,3,True,Magistrado > Decisão > Desacolhimento de Prisão
