tribunal,classe_codigo,total_indice,sem_movimentos,ibge_zero,ibge_missing,graus,sistemas
TJAL,7,382996,0,1239,292190,G1:374589 JE:7500 G2:702 TR:205,SAJ:382958 Projudi:38
TJAL,436,188292,19287,267,120872,JE:187918 G1:374,SAJ:188039 Projudi:253
TJBA,436,2146686,0,0,0,JE:1656319 G1:490367,Eproc:1600728 PJe:545957 SAJ:1
TJBA,7,1161282,0,0,0,G1:1159259 G2:1721 JE:302,PJe:1161165 SAJ:110 Eproc:7
TJCE,7,749913,0,3152,0,G1:740415 JE:9193 G2:305,PJe:362048 SAJ:274964 Pje:112901
TJCE,436,567358,0,33198,0,JE:332966 G1:234392,Pje:300588 PJe:210347 SAJ:56423
TJDFT,7,60316,0,0,0,G1:60279 JE:36 G2:1,PJe:60296 Inválido:20
TJDFT,436,41381,0,0,0,JE:41321 G1:60,PJe:41381
TJGO,7,708697,0,0,0,G1:698222 JE:9922 G2:541 TR:12,Eproc:697965 Projudi:10732
TJGO,436,662385,0,0,0,JE:654590 G1:7770 TR:24 G2:1,Eproc:662297 Projudi:88
TJMG,436,3832366,513,1532,0,JE:3781333 G1:46789 TR:4244,Inválido:1884786 PJe:1564162 Eproc:382386 Outros:6 Pje:1
TJMG,7,2846586,570,1428,0,G1:2786662 JE:59450 G2:474,PJe:1827158 Inválido:1018551 Eproc:4 Pje:4
TJPE,7,748631,0,9,0,G1:747244 JE:803 G2:584,PJe:523045 Pje:178287 Outros:41998 Inválido:5301
TJPE,436,574872,0,0,0,JE:573460 G1:1412,Pje:371391 PJe:190846 Outros:12634 Inválido:1
TJPR,436,1467804,0,1,0,JE:1466429 G1:1375,Eproc:1437892 Projudi:29912
TJPR,7,974624,0,0,0,G1:974246 G2:298 JE:80,Eproc:972403 Projudi:2221
TJRJ,436,2779114,2,0,9464,JE:2763764 G1:15350,PJe:1290274 Pje:799731 Inválido:649689 Outros:36394 Projudi:3024 EPROC:2
TJRJ,7,2466050,19,0,12802,G1:2453884 JE:12166,Inválido:1070858 PJe:567876 Projudi:405336 Outros:315342 Pje:105373 EPROC:1265
TJRS,7,2516258,303,0,0,G1:2513783 JE:2475,Projudi:1933059 Themis:299556 EPROC:273249 Inválido:10250 Outros:50
TJRS,436,1181342,323,0,0,JE:1180294 TR:991 G1:57,Projudi:579091 Themis:473451 EPROC:123656 Inválido:2841 Outros:2200
TJSC,7,1487185,32,0,13624,G1:1485714 JE:1094 G2:374 TR:3,Projudi:1433545 SAJ:53640
TJSC,436,829186,22,0,8633,JE:827865 G1:1266 TR:55,Projudi:798103 SAJ:31083
TJSP,7,6477239,41343,2,5551329,G1:6476757 G2:436 JE:43 TR:3,SAJ:5627740 Projudi:720028 Inválido:129471
TJSP,436,3511957,5585,1,2876108,JE:3022140 G1:489273 TR:544,SAJ:2921979 Projudi:575070 Inválido:14908
