tribunal,classe_codigo,n_docs,p_grau_g1_je,fmt_data,p_data_ajuiz_ok,p_ibge_ok,p_sem_movimentos,mediana_n_mov,p_cnj_valido,p_mov_sem_codigo,p_mov_sem_data
TJAL,7,500,0.998,compact14,1,0.204,0,44,1,0.0256231621504756,0
TJAL,436,500,1,compact14,1,0.354,0,32,1,0.137637234276934,0
TJBA,7,500,0.998,compact14,0.998,1,0,39,1,0.000685519477148233,0.000179054054054054
TJBA,436,500,1,compact14,0.998,1,0,36,1,0.00048788322188139,2.29885057471264e-05
TJCE,7,500,1,compact14,1,0.992,0,47,1,0,0
TJCE,436,500,1,compact14,1,0.92,0,32,1,0,0
TJDFT,7,500,1,compact14,1,1,0,49.5,1,0,0
TJDFT,436,500,1,compact14,1,1,0,32,1,0,0
TJGO,7,500,1,compact14,1,1,0,47,1,0,0
TJGO,436,500,1,compact14,1,1,0,31,1,0,0
TJMG,7,500,1,compact14/epoch,0.946,0.998,0,53,1,0,0.002
TJMG,436,500,1,compact14,0.978,1,0,33.5,1,0,0
TJPE,7,500,1,compact14/iso,1,1,0,41,1,0,0
TJPE,436,500,1,iso/compact14,1,1,0,23.5,1,0,0
TJPR,436,500,1,compact14,1,1,0,49,1,0,0
TJRJ,7,500,1,compact14/iso,0.996,0.994,0,71.5,1,0,0.00239716312056738
TJRJ,436,500,1,compact14/iso,1,0.998,0,41,1,0,0
TJRS,7,500,1,compact14/iso,1,1,0,60,1,0,0
TJRS,436,500,1,compact14/iso,1,1,0,40,1,0,0
TJSC,7,500,1,compact14,1,0.984,0,70,1,0.0024,0
TJSC,436,500,1,compact14,1,0.992,0,45,1,0,0
TJSP,7,500,1,compact14/iso,1,0.154,0.008,55,1,0,0
TJSP,436,500,1,compact14/iso,1,0.16,0.006,36.5,1,3.41029226204686e-05,0
