tribunal,classe_codigo,cnj_ano,N
TJAL,7,2003,1
TJAL,7,2007,2
TJAL,7,2009,3
TJAL,7,2011,2
TJAL,7,2012,6
TJAL,7,2013,7
TJAL,7,2014,4
TJAL,7,2015,10
TJAL,7,2016,18
TJAL,7,2017,17
TJAL,7,2018,19
TJAL,7,2019,29
TJAL,7,2020,23
TJAL,7,2021,46
TJAL,7,2022,43
TJAL,7,2023,49
TJAL,7,2024,85
TJAL,7,2025,84
TJAL,7,2026,52
TJAL,436,2002,1
TJAL,436,2005,1
TJAL,436,2006,2
TJAL,436,2007,1
TJAL,436,2008,2
TJAL,436,2009,13
TJAL,436,2010,9
TJAL,436,2011,5
TJAL,436,2012,13
TJAL,436,2013,10
TJAL,436,2014,10
TJAL,436,2015,11
TJAL,436,2016,19
TJAL,436,2017,15
TJAL,436,2018,21
TJAL,436,2019,36
TJAL,436,2020,35
TJAL,436,2021,38
TJAL,436,2022,53
TJAL,436,2023,51
TJAL,436,2024,60
TJAL,436,2025,58
TJAL,436,2026,36
TJBA,7,1969,1
TJBA,7,1990,2
TJBA,7,1996,1
TJBA,7,1997,1
TJBA,7,1998,3
TJBA,7,2000,1
TJBA,7,2001,1
TJBA,7,2005,6
TJBA,7,2006,6
TJBA,7,2007,3
TJBA,7,2008,14
TJBA,7,2009,9
TJBA,7,2010,10
TJBA,7,2011,9
TJBA,7,2012,12
TJBA,7,2013,12
TJBA,7,2014,11
TJBA,7,2015,12
TJBA,7,2016,12
TJBA,7,2017,18
TJBA,7,2018,17
TJBA,7,2019,16
TJBA,7,2020,31
TJBA,7,2021,45
TJBA,7,2022,35
TJBA,7,2023,40
TJBA,7,2024,61
TJBA,7,2025,71
TJBA,7,2026,40
TJBA,436,2010,1
TJBA,436,2011,1
TJBA,436,2012,1
TJBA,436,2014,1
TJBA,436,2015,7
TJBA,436,2016,7
TJBA,436,2017,3
TJBA,436,2018,22
TJBA,436,2019,43
TJBA,436,2020,76
TJBA,436,2021,56
TJBA,436,2022,58
TJBA,436,2023,57
TJBA,436,2024,47
TJBA,436,2025,55
TJBA,436,2026,65
TJCE,7,2000,6
TJCE,7,2006,1
TJCE,7,2008,1
TJCE,7,2009,2
TJCE,7,2010,4
TJCE,7,2011,6
TJCE,7,2012,5
TJCE,7,2013,12
TJCE,7,2014,10
TJCE,7,2015,10
TJCE,7,2016,16
TJCE,7,2017,11
TJCE,7,2018,29
TJCE,7,2019,38
TJCE,7,2020,10
TJCE,7,2021,33
TJCE,7,2022,46
TJCE,7,2023,52
TJCE,7,2024,88
TJCE,7,2025,71
TJCE,7,2026,49
TJCE,436,2008,1
TJCE,436,2009,2
TJCE,436,2010,2
TJCE,436,2011,1
TJCE,436,2012,3
TJCE,436,2013,5
TJCE,436,2014,4
TJCE,436,2015,3
TJCE,436,2016,11
TJCE,436,2017,15
TJCE,436,2018,14
TJCE,436,2019,42
TJCE,436,2020,35
TJCE,436,2021,53
TJCE,436,2022,56
TJCE,436,2023,53
TJCE,436,2024,68
TJCE,436,2025,74
TJCE,436,2026,58
TJDFT,7,2007,1
