doc_id,episodio,estado,inicio,fim,dias,censurado,mov_codigo_entrada,confianca
TJAL_436_JE_6534_07003312820198020006,1,distribuicao,2019-09-19T11:56:58Z,2019-09-19T11:57:02Z,4.62962962962963e-05,FALSE,26,alta
TJAL_436_JE_6534_07003312820198020006,2,conclusao,2019-09-19T11:57:02Z,2019-10-21T10:16:50Z,31.9304166666667,FALSE,51,alta
TJAL_436_JE_6534_07003312820198020006,3,secretaria,2019-10-21T10:16:50Z,2019-10-22T10:21:37Z,1.00332175925926,FALSE,11383,baixa
TJAL_436_JE_6534_07003312820198020006,4,citacao,2019-10-22T10:21:37Z,2019-11-20T10:44:26Z,29.0158449074074,FALSE,60,media
TJAL_436_JE_6534_07003312820198020006,5,conclusao,2019-11-20T10:44:26Z,2019-11-21T11:27:43Z,1.03005787037037,FALSE,51,alta
TJAL_436_JE_6534_07003312820198020006,6,secretaria,2019-11-21T11:27:43Z,2019-11-28T11:19:02Z,6.99396990740741,FALSE,11010,baixa
TJAL_436_JE_6534_07003312820198020006,7,conclusao,2019-11-28T11:19:02Z,2019-12-03T08:46:43Z,4.89422453703704,FALSE,51,alta
TJAL_436_JE_6534_07003312820198020006,8,secretaria,2019-12-03T08:46:43Z,2019-12-17T13:39:40Z,14.2034375,FALSE,60,baixa
TJAL_436_JE_6534_07003312820198020006,9,audiencia,2019-12-17T13:39:40Z,2019-12-18T11:48:35Z,0.922858796296296,FALSE,970,alta
TJAL_436_JE_6534_07003312820198020006,10,conclusao,2019-12-18T11:48:35Z,2020-01-17T09:17:52Z,29.8953356481482,FALSE,51,alta
TJAL_436_JE_6534_07003312820198020006,11,secretaria,2020-01-17T09:17:52Z,2020-02-17T13:27:16Z,31.1731944444444,FALSE,11010,baixa
TJAL_436_JE_6534_07003312820198020006,12,conclusao,2020-02-17T13:27:16Z,2020-02-20T10:26:24Z,2.87439814814815,FALSE,51,alta
TJAL_436_JE_6534_07003312820198020006,13,sentenca,2020-02-20T10:26:24Z,2020-02-20T20:20:32Z,0.412592592592593,FALSE,466,alta
TJAL_436_JE_6534_07003312820198020006,14,secretaria,2020-02-20T20:20:32Z,2020-02-28T14:06:24Z,7.74018518518519,FALSE,1061,baixa
TJAL_436_JE_6534_07003312820198020006,15,baixa,2020-02-28T14:06:24Z,2020-03-04T13:57:39Z,4.99392361111111,FALSE,22,alta
TJAL_436_JE_6534_07003312820198020006,16,secretaria,2020-03-04T13:57:39Z,2020-03-25T18:04:11Z,21.1712037037037,FALSE,849,alta
TJAL_436_JE_6534_07003312820198020006,17,conclusao,2020-03-25T18:04:11Z,2020-05-26T15:06:15Z,61.8764351851852,FALSE,51,alta
TJAL_436_JE_6534_07003312820198020006,18,secretaria,2020-05-26T15:06:15Z,2020-07-01T20:28:28Z,36.2237615740741,FALSE,11010,baixa
TJAL_436_JE_6534_07003312820198020006,19,conclusao,2020-07-01T20:28:28Z,2020-07-08T11:38:47Z,6.63216435185185,FALSE,51,alta
TJAL_436_JE_6534_07003312820198020006,20,secretaria,2020-07-08T11:38:47Z,2020-07-09T11:04:52Z,0.976446759259259,FALSE,11010,baixa
TJAL_436_JE_6534_07003312820198020006,21,baixa,2020-07-09T11:04:52Z,2023-08-07T23:26:13Z,1124.51482638889,TRUE,22,alta
TJAL_436_JE_6534_07003520420198020006,1,distribuicao,2019-09-20T11:40:57Z,2019-09-20T11:41:02Z,5.78703703703704e-05,FALSE,26,alta
TJAL_436_JE_6534_07003520420198020006,2,conclusao,2019-09-20T11:41:02Z,2019-10-21T10:44:34Z,30.960787037037,FALSE,51,alta
TJAL_436_JE_6534_07003520420198020006,3,secretaria,2019-10-21T10:44:34Z,2019-10-24T10:30:35Z,2.99028935185185,FALSE,11383,baixa
TJAL_436_JE_6534_07003520420198020006,4,citacao,2019-10-24T10:30:35Z,2019-12-04T15:38:33Z,41.2138657407407,FALSE,60,media
TJAL_436_JE_6534_07003520420198020006,5,audiencia,2019-12-04T15:38:33Z,2020-01-29T11:57:48Z,55.8467013888889,FALSE,970,alta
TJAL_436_JE_6534_07003520420198020006,6,conclusao,2020-01-29T11:57:48Z,2020-02-13T12:36:06Z,15.0265972222222,FALSE,51,alta
TJAL_436_JE_6534_07003520420198020006,7,sentenca,2020-02-13T12:36:06Z,2020-02-14T14:22:51Z,1.07413194444444,FALSE,220,alta
TJAL_436_JE_6534_07003520420198020006,8,secretaria,2020-02-14T14:22:51Z,2020-03-09T13:21:15Z,23.9572222222222,FALSE,1061,baixa
TJAL_436_JE_6534_07003520420198020006,9,baixa,2020-03-09T13:21:15Z,2023-08-07T23:26:13Z,1246.42011574074,TRUE,246,alta
TJAL_436_JE_6534_07003555620198020006,1,distribuicao,2019-09-20T12:08:04Z,2019-09-20T12:08:07Z,3.47222222222222e-05,FALSE,26,alta
TJAL_436_JE_6534_07003555620198020006,2,conclusao,2019-09-20T12:08:07Z,2019-10-21T10:44:49Z,30.9421527777778,FALSE,51,alta
TJAL_436_JE_6534_07003555620198020006,3,secretaria,2019-10-21T10:44:49Z,2019-10-24T10:34:41Z,2.99296296296296,FALSE,11383,baixa
TJAL_436_JE_6534_07003555620198020006,4,citacao,2019-10-24T10:34:41Z,2019-12-04T15:37:06Z,41.2100115740741,FALSE,60,media
TJAL_436_JE_6534_07003555620198020006,5,audiencia,2019-12-04T15:37:06Z,2020-01-29T11:31:04Z,55.8291435185185,FALSE,970,alta
TJAL_436_JE_6534_07003555620198020006,6,conclusao,2020-01-29T11:31:04Z,2020-06-01T11:22:59Z,123.994386574074,FALSE,51,alta
TJAL_436_JE_6534_07003555620198020006,7,sentenca,2020-06-01T11:22:59Z,2020-06-01T16:50:21Z,0.227337962962963,FALSE,219,alta
TJAL_436_JE_6534_07003555620198020006,8,secretaria,2020-06-01T16:50:21Z,2020-07-06T16:50:10Z,34.9998726851852,FALSE,1061,baixa
TJAL_436_JE_6534_07003555620198020006,9,conclusao,2020-07-06T16:50:10Z,2020-07-08T11:40:35Z,1.78501157407407,FALSE,51,alta
TJAL_436_JE_6534_07003555620198020006,10,secretaria,2020-07-08T11:40:35Z,2020-09-30T12:17:31Z,84.0256481481482,FALSE,11010,baixa
TJAL_436_JE_6534_07003555620198020006,11,baixa,2020-09-30T12:17:31Z,2023-08-07T23:26:13Z,1041.464375,TRUE,22,alta
TJAL_436_JE_6534_07003616320198020006,1,distribuicao,2019-09-20T16:00:45Z,2019-09-20T16:00:49Z,4.62962962962963e-05,FALSE,26,alta
TJAL_436_JE_6534_07003616320198020006,2,conclusao,2019-09-20T16:00:49Z,2019-10-21T10:45:31Z,30.7810416666667,FALSE,51,alta
TJAL_436_JE_6534_07003616320198020006,3,secretaria,2019-10-21T10:45:31Z,2019-10-22T12:57:54Z,1.09193287037037,FALSE,11383,baixa
TJAL_436_JE_6534_07003616320198020006,4,citacao,2019-10-22T12:57:54Z,2019-12-04T15:34:11Z,43.1085300925926,FALSE,60,media
TJAL_436_JE_6534_07003616320198020006,5,audiencia,2019-12-04T15:34:11Z,2019-12-06T13:26:37Z,1.91141203703704,FALSE,970,alta
TJAL_436_JE_6534_07003616320198020006,6,conclusao,2019-12-06T13:26:37Z,2019-12-10T15:10:38Z,4.0722337962963,FALSE,51,alta
TJAL_436_JE_6534_07003616320198020006,7,secretaria,2019-12-10T15:10:38Z,2020-01-14T14:12:45Z,34.9598032407407,FALSE,11010,baixa
TJAL_436_JE_6534_07003616320198020006,8,conclusao,2020-01-14T14:12:45Z,2020-02-13T14:14:13Z,30.0010185185185,FALSE,51,alta
TJAL_436_JE_6534_07003616320198020006,9,sentenca,2020-02-13T14:14:13Z,2020-02-14T14:22:52Z,1.00600694444444,FALSE,220,alta
TJAL_436_JE_6534_07003616320198020006,10,secretaria,2020-02-14T14:22:52Z,2020-03-10T08:05:03Z,24.7376273148148,FALSE,1061,baixa
TJAL_436_JE_6534_07003616320198020006,11,conclusao,2020-03-10T08:05:03Z,2020-03-10T08:17:42Z,0.00878472222222222,FALSE,51,alta
TJAL_436_JE_6534_07003616320198020006,12,secretaria,2020-03-10T08:17:42Z,2020-05-28T14:16:11Z,79.2489467592593,FALSE,60,baixa
TJAL_436_JE_6534_07003616320198020006,13,baixa,2020-05-28T14:16:11Z,2023-08-07T23:26:13Z,1166.38196759259,TRUE,246,alta
TJAL_436_JE_6534_07003624820198020006,1,distribuicao,2019-09-20T16:16:09Z,2019-09-20T16:16:11Z,2.31481481481482e-05,FALSE,26,alta
TJAL_436_JE_6534_07003624820198020006,2,conclusao,2019-09-20T16:16:11Z,2019-10-21T10:52:37Z,30.7753009259259,FALSE,51,alta
TJAL_436_JE_6534_07003624820198020006,3,secretaria,2019-10-21T10:52:37Z,2019-10-24T10:52:09Z,2.99967592592593,FALSE,11383,baixa
TJAL_436_JE_6534_07003624820198020006,4,citacao,2019-10-24T10:52:09Z,2019-12-04T11:25:33Z,41.0231944444444,FALSE,60,media
TJAL_436_JE_6534_07003624820198020006,5,conclusao,2019-12-04T11:25:33Z,2019-12-04T15:33:37Z,0.172268518518519,FALSE,51,alta
TJAL_436_JE_6534_07003624820198020006,6,audiencia,2019-12-04T15:33:37Z,2019-12-06T09:56:54Z,1.76616898148148,FALSE,970,alta
TJAL_436_JE_6534_07003624820198020006,7,secretaria,2019-12-06T09:56:54Z,2019-12-11T07:37:07Z,4.90292824074074,FALSE,11010,baixa
TJAL_436_JE_6534_07003624820198020006,8,conclusao,2019-12-11T07:37:07Z,2019-12-12T11:24:38Z,1.15799768518519,FALSE,51,alta
TJAL_436_JE_6534_07003624820198020006,9,secretaria,2019-12-12T11:24:38Z,2019-12-19T12:29:14Z,7.04486111111111,FALSE,92,baixa
TJAL_436_JE_6534_07003624820198020006,10,sentenca,2019-12-19T12:29:14Z,2020-01-06T11:04:41Z,17.9412847222222,FALSE,463,alta
TJAL_436_JE_6534_07003624820198020006,11,baixa,2020-01-06T11:04:41Z,2020-01-07T08:02:49Z,0.873703703703704,FALSE,246,alta
TJAL_436_JE_6534_07003624820198020006,12,secretaria,2020-01-07T08:02:49Z,2020-01-29T09:17:36Z,22.0519328703704,FALSE,1061,baixa
TJAL_436_JE_6534_07003624820198020006,13,baixa,2020-01-29T09:17:36Z,2023-08-07T23:26:13Z,1286.58931712963,TRUE,22,alta
TJAL_436_JE_6534_07003694020198020006,1,distribuicao,2019-09-23T12:05:43Z,2019-09-23T12:05:46Z,3.47222222222222e-05,FALSE,26,alta
TJAL_436_JE_6534_07003694020198020006,2,conclusao,2019-09-23T12:05:46Z,2019-10-21T10:53:06Z,27.949537037037,FALSE,51,alta
TJAL_436_JE_6534_07003694020198020006,3,secretaria,2019-10-21T10:53:06Z,2019-10-23T09:00:42Z,1.92194444444444,FALSE,11383,baixa
TJAL_436_JE_6534_07003694020198020006,4,citacao,2019-10-23T09:00:42Z,2019-12-04T15:31:42Z,42.2715277777778,FALSE,60,media
TJAL_436_JE_6534_07003694020198020006,5,audiencia,2019-12-04T15:31:42Z,2019-12-09T09:46:09Z,4.76003472222222,FALSE,970,alta
TJAL_436_JE_6534_07003694020198020006,6,conclusao,2019-12-09T09:46:09Z,2020-01-08T10:28:49Z,30.0296296296296,FALSE,51,alta
TJAL_436_JE_6534_07003694020198020006,7,secretaria,2020-01-08T10:28:49Z,2020-02-12T15:15:48Z,35.1992939814815,FALSE,11010,baixa
TJAL_436_JE_6534_07003694020198020006,8,conclusao,2020-02-12T15:15:48Z,2020-04-08T15:06:18Z,55.9934027777778,FALSE,51,alta
TJAL_436_JE_6534_07003694020198020006,9,sentenca,2020-04-08T15:06:18Z,2020-04-13T13:34:05Z,4.93596064814815,FALSE,466,alta
TJAL_436_JE_6534_07003694020198020006,10,baixa,2020-04-13T13:34:05Z,2020-04-14T10:56:46Z,0.890752314814815,FALSE,22,alta
TJAL_436_JE_6534_07003694020198020006,11,secretaria,2020-04-14T10:56:46Z,2023-08-07T23:26:13Z,1210.52045138889,TRUE,1061,baixa
TJAL_436_JE_6534_07003737720198020006,1,distribuicao,2019-09-23T15:12:13Z,2019-09-23T15:12:18Z,5.78703703703704e-05,FALSE,26,alta
TJAL_436_JE_6534_07003737720198020006,2,conclusao,2019-09-23T15:12:18Z,2019-10-21T10:53:27Z,27.8202430555556,FALSE,51,alta
TJAL_436_JE_6534_07003737720198020006,3,secretaria,2019-10-21T10:53:27Z,2019-10-22T10:41:05Z,0.991412037037037,FALSE,11383,baixa
