tribunal,classe_codigo,n,p_ultimo_mov_2025_26,mediana_ult_atual
TJAL,436,500,0.33,2025-05-13
TJAL,7,500,0.606,2025-10-29
TJBA,436,500,0.4,2025-06-13
TJBA,7,500,0.732,2026-06-07
TJCE,436,500,0.386,2025-06-10
TJCE,7,500,0.572,2026-05-12
TJDFT,436,500,0.808,2026-08-14
TJDFT,7,500,0.886,2026-08-15
TJGO,436,500,0.338,2026-06-13
TJGO,7,500,0.562,2026-06-11
TJMG,436,500,0.228,2024-07-27
TJMG,7,500,0.444889779559118,2025-08-16
TJPE,436,500,0.298,2025-04-16
TJPE,7,500,0.572,2026-07-16
TJPR,436,500,0.342,2026-06-09
TJRJ,436,500,0.386,2026-07-16
TJRJ,7,500,0.55310621242485,2026-07-19
TJRS,436,500,0.332,2025-12-14
TJRS,7,500,0.586,2026-06-27
TJSC,436,500,0.368,2025-06-14
TJSC,7,500,0.404,2025-06-15
TJSP,436,500,0.309859154929577,2025-08-10
TJSP,7,500,0.445564516129032,2025-08-08
