de,audiencia,baixa,citacao,conclusao,conclusao_julgamento,cumprimento,defesa,instrucao,julgamento_recursal,recurso,secretaria,sentenca,suspensao
audiencia,0,0,0,9,2,0,0,0,0,0,12,0,0
baixa,0,0,0,4,0,0,0,0,0,0,12,0,0
citacao,7,0,0,23,2,0,1,0,0,1,78,1,0
conclusao,3,0,4,0,7,0,1,3,4,0,331,20,1
conclusao_julgamento,0,0,0,0,0,0,0,0,0,0,10,22,0
cumprimento,0,0,0,1,0,0,0,0,0,0,1,0,0
defesa,2,0,0,2,0,0,0,0,0,0,6,0,0
distribuicao,6,0,1,44,0,0,0,0,0,0,6,0,0
instrucao,0,0,1,0,0,0,0,0,0,0,6,0,0
julgamento_recursal,0,1,0,0,0,0,0,0,0,0,5,0,0
recurso,0,0,0,9,0,0,0,0,0,0,6,0,0
secretaria,5,34,99,290,22,2,8,4,2,18,0,5,2
sentenca,0,4,8,1,0,0,0,0,0,0,35,0,0
suspensao,0,0,0,0,0,0,0,0,0,0,3,0,0
