tribunal,classe_codigo,p_ibge_ok,p_mov_sem_codigo,mediana_n_mov,mediana_ult_atual,total_indice,sistemas,p_coortes_2018_22,recorte,est_docs_2018_22
TJCE,7,0.992,0,47,2026-05-12,749913,PJe:362048 SAJ:274964 Pje:112901,0.312,A (PJe),233973
TJCE,436,0.92,0,32,2025-06-10,567358,Pje:300588 PJe:210347 SAJ:56423,0.4,A (PJe),226943
TJPE,7,1,0,41,2026-07-16,748631,PJe:523045 Pje:178287 Outros:41998 Inválido:5301,0.35,A (PJe),262021
TJPE,436,1,0,23.5,2025-04-16,574872,Pje:371391 PJe:190846 Outros:12634 Inválido:1,0.446,A (PJe),256393
TJGO,7,1,0,47,2026-06-11,708697,Eproc:697965 Projudi:10732,0.32,B (eproc/Projudi),226783
TJGO,436,1,0,31,2026-06-13,662385,Eproc:662297 Projudi:88,0.446,B (eproc/Projudi),295424
TJPR,7,,,,,974624,Eproc:972403 Projudi:2221,,B (eproc/Projudi),
TJPR,436,1,0,49,2026-06-09,1467804,Eproc:1437892 Projudi:29912,0.394,B (eproc/Projudi),578315
TJSC,7,0.984,0.0024,70,2025-06-15,1487185,Projudi:1433545 SAJ:53640,0.424,B (eproc/Projudi),630566
TJSC,436,0.992,0,45,2025-06-14,829186,Projudi:798103 SAJ:31083,0.46,B (eproc/Projudi),381426
TJBA,7,1,0.000685519477148233,39,2026-06-07,1161282,PJe:1161165 SAJ:110 Eproc:7,0.288,C (misto),334449
TJBA,436,1,0.00048788322188139,36,2025-06-13,2146686,Eproc:1600728 PJe:545957 SAJ:1,0.51,C (misto),1094810
TJRS,7,1,0,60,2026-06-27,2516258,Projudi:1933059 Themis:299556 EPROC:273249 Inválido:10250 Outros:50,0.342,C (misto),860560
TJRS,436,1,0,40,2025-12-14,1181342,Projudi:579091 Themis:473451 EPROC:123656 Inválido:2841 Outros:2200,0.444,C (misto),524516
TJAL,7,0.204,0.0256231621504756,44,2025-10-29,382996,SAJ:382958 Projudi:38,0.32,fora,122559
TJAL,436,0.354,0.137637234276934,32,2025-05-13,188292,SAJ:188039 Projudi:253,0.366,fora,68915
TJDFT,7,1,0,49.5,2026-08-15,60316,PJe:60296 Inválido:20,0.104,fora,6273
TJDFT,436,1,0,32,2026-08-14,41381,PJe:41381,0.13,fora,5380
TJMG,7,0.998,0,53,2025-08-16,2846586,PJe:1827158 Inválido:1018551 Eproc:4 Pje:4,0.264,fora,751499
TJMG,436,1,0,33.5,2024-07-27,3832366,Inválido:1884786 PJe:1564162 Eproc:382386 Outros:6 Pje:1,0.324,fora,1241687
TJRJ,7,0.994,0,71.5,2026-07-19,2466050,Inválido:1070858 PJe:567876 Projudi:405336 Outros:315342 Pje:105373 EPROC:1265,0.35,fora,863118
TJRJ,436,0.998,0,41,2026-07-16,2779114,PJe:1290274 Pje:799731 Inválido:649689 Outros:36394 Projudi:3024 EPROC:2,0.466,fora,1295067
TJSP,7,0.154,0,55,2025-08-08,6477239,SAJ:5627740 Projudi:720028 Inválido:129471,0.362,fora,2344761
TJSP,436,0.16,3.41029226204686e-05,36.5,2025-08-10,3511957,SAJ:2921979 Projudi:575070 Inválido:14908,0.412,fora,1446926
