doc_id,numero_processo,tribunal,grau,classe_codigo,oj_codigo,oj_municipio_ibge,cnj_ano,data_ajuizamento,data_ultima_atualizacao,n_movimentos,t_distribuicao,t_analise_inicial,t_citacao,t_defesa,t_instrucao,t_audiencia,t_conclusao_julgamento,t_sentenca,t_recurso,t_julgamento_recursal,t_cumprimento,t_baixa,t_suspensao,t_transito_julgado,t0,t0_fonte,evento_sentenca,dias_ate_sentenca,evento_baixa,dias_ate_baixa,n_mov_sem_estado,prop_mov_sem_estado,n_sentencas,reaberto,suspenso,redistribuido,datas_impossiveis
TJAL_436_JE_6534_07003312820198020006,07003312820198020006,TJAL,JE,436,6534,2701209,2019,2019-09-19T11:55:03Z,2023-08-07T23:26:13Z,56,2019-09-19T11:56:58Z,,2019-10-22T10:21:37Z,,,2019-12-17T11:19:10Z,,2019-09-27T11:34:10Z,,,2020-03-20T14:08:00Z,2020-02-28T14:06:24Z,,2020-03-20T14:09:43Z,2019-09-19T11:56:58Z,mov_26,TRUE,7.98416666666667,TRUE,162.089884259259,15,0.267857142857143,1,TRUE,FALSE,FALSE,0
TJAL_436_JE_6534_07003520420198020006,07003520420198020006,TJAL,JE,436,6534,2701209,2019,2019-09-20T11:39:03Z,2023-08-07T23:26:13Z,22,2019-09-20T11:40:57Z,,2019-10-24T10:30:35Z,,,2019-10-24T09:14:09Z,,2019-09-27T11:34:21Z,,,,2020-03-09T13:21:15Z,,,2019-09-20T11:40:57Z,mov_26,TRUE,6.99541666666667,TRUE,171.069652777778,7,0.318181818181818,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003555620198020006,07003555620198020006,TJAL,JE,436,6534,2701209,2019,2019-09-20T12:06:44Z,2023-08-07T23:26:13Z,49,2019-09-20T12:08:04Z,,2019-10-24T10:34:41Z,,,2019-10-22T10:25:17Z,,2019-09-27T11:50:22Z,,,,2020-09-30T12:17:31Z,,2020-09-30T10:34:27Z,2019-09-20T12:08:04Z,mov_26,TRUE,6.98770833333333,TRUE,376.0065625,15,0.306122448979592,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003616320198020006,07003616320198020006,TJAL,JE,436,6534,2701209,2019,2019-09-20T16:00:03Z,2023-08-07T23:26:13Z,40,2019-09-20T16:00:45Z,,2019-10-22T12:57:54Z,,,2019-12-03T10:59:21Z,,2019-09-27T11:35:00Z,,,,2020-05-28T14:16:11Z,,2020-05-18T17:11:41Z,2019-09-20T16:00:45Z,mov_26,TRUE,6.81545138888889,TRUE,250.927384259259,9,0.225,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003624820198020006,07003624820198020006,TJAL,JE,436,6534,2701209,2019,2019-09-20T16:11:27Z,2023-08-07T23:26:13Z,29,2019-09-20T16:16:09Z,,2019-10-24T10:52:09Z,,,2019-10-24T10:33:36Z,,2019-09-27T11:35:12Z,,,,2020-01-06T11:04:41Z,,,2019-09-20T16:16:09Z,mov_26,TRUE,6.80489583333333,TRUE,107.783703703704,7,0.241379310344828,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003694020198020006,07003694020198020006,TJAL,JE,436,6534,2701209,2019,2019-09-23T12:02:31Z,2023-08-07T23:26:13Z,34,2019-09-23T12:05:43Z,,2019-10-23T09:00:42Z,,,2019-10-22T09:14:37Z,,2019-09-27T11:36:00Z,,,,2020-04-13T13:34:05Z,,,2019-09-23T12:05:43Z,mov_26,TRUE,3.97936342592593,TRUE,203.061365740741,10,0.294117647058824,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003737720198020006,07003737720198020006,TJAL,JE,436,6534,2701209,2019,2019-09-23T15:06:15Z,2023-08-07T23:26:13Z,70,2019-09-23T15:12:13Z,,2019-10-22T10:41:05Z,,,2019-10-22T10:03:52Z,,2019-09-27T11:36:51Z,,,,2020-07-30T13:18:06Z,,,2019-09-23T15:12:13Z,mov_26,TRUE,3.85043981481482,TRUE,310.920752314815,22,0.314285714285714,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003823920198020006,07003823920198020006,TJAL,JE,436,6534,2701209,2019,2019-09-23T17:47:24Z,2023-08-07T23:26:13Z,91,2019-09-23T17:51:23Z,,2019-10-24T11:49:18Z,,,2019-10-22T10:38:53Z,,2019-09-27T11:38:01Z,,,,2020-08-25T11:06:07Z,,,2019-09-23T17:51:23Z,mov_26,TRUE,3.74071759259259,TRUE,336.718564814815,27,0.296703296703297,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003832420198020006,07003832420198020006,TJAL,JE,436,6534,2701209,2019,2019-09-23T17:54:06Z,2023-08-07T23:26:13Z,42,2019-09-23T17:58:04Z,,2019-10-22T10:41:15Z,,,2019-10-22T10:04:36Z,,2019-09-27T11:38:12Z,,,,2020-05-28T14:08:26Z,,,2019-09-23T17:58:04Z,mov_26,TRUE,3.7362037037037,TRUE,247.840532407407,9,0.214285714285714,1,FALSE,FALSE,FALSE,0
TJAL_436_JE_6534_07003867620198020006,07003867620198020006,TJAL,JE,436,6534,2701209,2019,2019-09-24T09:20:41Z,2023-08-07T23:26:13Z,34,2019-09-24T09:21:53Z,,2019-10-22T13:29:45Z,,,2019-12-11T12:20:42Z,,2019-09-27T11:38:45Z,,,2020-01-17T10:57:42Z,2020-06-13T17:32:59Z,,,2019-09-24T09:21:53Z,mov_26,TRUE,3.0950462962963,TRUE,263.341041666667,8,0.235294117647059,1,FALSE,FALSE,FALSE,0
